GEOID,sovi_weighted,rank_weighted
g02170,-5.585675170977424,3057.0
g02180,8.132584294704156,38.0
g02185,-0.19466557720672917,1691.0
g02188,8.682960412967017,32.0
g02195,-3.2756609217851516,2814.0
g02198,-1.519761965339904,2333.0
g02220,-1.7292874249604155,2404.0
g02230,-4.861369536888011,3009.0
g02240,-4.07108196462905,2945.0
g02261,-4.844715486369964,3008.0
g02270,13.769675511912656,4.0
g02275,2.2776673573905093,494.0
g02282,-4.651456887214307,2995.0
g02290,8.324500964538592,35.0
g04001,10.039613152540394,15.0
g04003,2.5179709223091824,433.0
g04005,1.1961328062870416,935.0
g04007,5.826606024913804,90.0
g04009,0.18777009386157784,1472.0
g04011,-1.2329946572363877,2223.0
g04012,7.371487558076357,51.0
g04013,-0.446532909339729,1845.0
g04015,3.5138584072288586,254.0
g04017,5.846507840656761,89.0
g04019,2.247381579380447,507.0
g04021,-0.5640677233024043,1901.0
g04023,7.551625744379165,49.0
g04025,2.841472534884047,362.0
g04027,4.732446263690223,133.0
g05001,0.5084128027241605,1300.0
g05003,-0.4359167732186514,1836.0
g05005,4.698193714762974,135.0
g05007,-2.1696676215862656,2543.0
g05009,0.8854670669717981,1087.0
g05011,2.0425830651110495,575.0
g05013,-2.535315275352787,2635.0
g05015,1.7979826518660305,677.0
g05017,5.067362560718521,124.0
g05019,2.6416500006301127,407.0
g05021,0.6767482144831365,1203.0
g05023,1.7680326013993524,688.0
g05025,-1.7105115929502064,2394.0
g05027,1.8592805183271828,645.0
g05029,0.42752618056644276,1349.0
g05031,-0.5999248572570266,1916.0
g05033,-0.2658407455760692,1737.0
g05035,1.189745880505404,940.0
g05037,0.6598061191818443,1217.0
g05039,0.3820732100329822,1377.0
g05041,3.241158208862082,297.0
g05043,0.7394850670144699,1170.0
g05045,-3.225855191483995,2807.0
g05047,1.3528543276364589,869.0
g05049,3.9951823870602965,194.0
g05051,2.071110506068442,560.0
g05053,-3.1330984374374196,2788.0
g05055,-0.8669090935440673,2050.0
g05057,2.327095192473419,482.0
g05059,-0.5126614192011741,1878.0
g05061,3.176481404212309,305.0
g05063,0.6766182905079554,1204.0
g05065,1.9339684602312301,619.0
g05067,1.6550643140723205,737.0
g05069,1.4850507352971851,814.0
g05071,-0.08560956000578268,1626.0
g05073,3.863735366746234,210.0
g05075,2.838824825118371,363.0
g05077,3.213756537542075,300.0
g05079,-3.8511379043280334,2917.0
g05081,0.8307817188817805,1124.0
g05083,0.6981790609526277,1193.0
g05085,-2.3874265688294862,2597.0
g05087,-0.40395355323459636,1820.0
g05089,3.192244131934964,302.0
g05091,-0.25821564191322927,1728.0
g05093,0.7552599044330903,1161.0
g05095,4.034196221834325,188.0
g05097,1.958118559087715,605.0
g05099,1.3934492504335863,857.0
g05101,-0.028752312607236652,1590.0
g05103,2.030624622964756,579.0
g05105,-1.2499050922801662,2233.0
g05107,6.092481652912079,81.0
g05109,0.5105445421753274,1299.0
g05111,2.2301301002906073,511.0
g05113,1.4229404755778199,838.0
g05115,-0.849891293874754,2043.0
g05117,1.7160054490332795,710.0
g05119,-0.608928162511204,1921.0
g05121,1.5987496598804254,760.0
g05123,1.20059702200122,931.0
g05125,-2.9621978705757313,2743.0
g05127,0.371571981128773,1381.0
g05129,4.646381821672355,141.0
g05131,0.2692335140255842,1434.0
g05133,2.7581376111065197,382.0
g05135,3.0656340771197823,319.0
g05137,2.9140730174079703,339.0
g05139,0.5872515408059464,1250.0
g05141,2.3067380861223215,487.0
g05143,-1.2874430971553008,2247.0
g05145,-1.1355516114803965,2170.0
g05147,3.8776645699261065,207.0
g05149,2.067681123240568,561.0
g06001,-2.9595449881556357,2742.0
g06003,-0.4355277562755453,1835.0
g06005,-0.6020998590778084,1917.0
g06007,1.066925395054198,1001.0
g06009,-0.49999600944781797,1866.0
g06011,2.606855607356089,415.0
g06013,-3.3001495306579463,2820.0
g06015,1.7578923862214475,692.0
g06017,-3.187713706889061,2800.0
g06019,2.6781651714997015,400.0
g06021,1.6316653646158197,751.0
g06023,-0.10102813386068465,1634.0
g06025,6.749079251656334,60.0
g06027,1.9607504103036453,602.0
g06029,1.223672432247309,920.0
g06031,-0.15640808939866346,1671.0
g06033,2.3737408439194576,465.0
g06035,-5.129086127289617,3029.0
g06037,1.1904587424363746,939.0
g06039,2.838161165813931,364.0
g06041,-5.618714396082026,3058.0
g06043,1.4502685556754598,825.0
g06045,2.055847040889931,568.0
g06047,2.891325016724716,349.0
g06049,3.8366068575610432,220.0
g06051,-1.3431590469493344,2267.0
g06053,1.8091621494139232,669.0
g06055,-0.867765094134561,2051.0
g06057,-1.195466102799661,2204.0
g06059,-2.8753045244095583,2725.0
g06061,-3.2256738484124847,2806.0
g06063,1.6969325672299151,725.0
g06065,0.3354724865519114,1402.0
g06067,-0.014534376645993996,1582.0
g06069,-0.2639210923505946,1735.0
g06071,0.3417641408086949,1398.0
g06073,-1.7498348609386296,2410.0
g06075,-1.394149417144944,2281.0
g06077,0.5484217379466616,1278.0
g06079,-2.0351387344844456,2503.0
g06081,-4.431155276470125,2972.0
g06083,0.15324640143767665,1490.0
g06085,-6.158144123464414,3091.0
g06087,-2.4715349300777807,2621.0
g06089,0.718225271346846,1180.0
g06091,3.0847578896330994,316.0
g06093,2.3096507470031415,484.0
g06095,-1.7219972913217667,2399.0
g06097,-1.1232793773982894,2165.0
g06099,1.1988447260208726,932.0
g06101,1.0753869916931675,996.0
